Row_ID;Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Country;City;State;Postal_Code;Region;Product_ID; Sales ;Quantity;Discount;Profit
3513;CA-2017-140326;04/09/2017;06/09/2017;First Class;HW-14935;United States;Chicago;Illinois;60653;Central;FUR-BO-10000112; 825,174 ;9;0,3;-117,882
1761;CA-2015-130785;05/09/2015;09/09/2015;Standard Class;AG-10900;United States;San Diego;California;92105;West;FUR-BO-10000330; 411,332 ;4;0,15;-4,839
5495;CA-2014-105249;28/11/2014;28/11/2014;Same Day;DH-13675;United States;San Francisco;California;94122;West;FUR-BO-10000330; 411,332 ;4;0,15;-4,839
6402;CA-2017-125472;30/05/2017;31/05/2017;First Class;BD-11725;United States;Lafayette;Louisiana;70506;South;FUR-BO-10000330; 241,960 ;2;0;33,874
1595;CA-2015-118423;24/03/2015;27/03/2015;First Class;DP-13390;United States;Peoria;Illinois;61604;Central;FUR-BO-10000362; 359,058 ;3;0,3;-35,906
1611;CA-2014-156349;26/05/2014;30/05/2014;Standard Class;ML-17395;United States;Los Angeles;California;90008;West;FUR-BO-10000362; 290,666 ;2;0,15;27,357
2604;CA-2016-165848;04/06/2016;04/06/2016;Same Day;EN-13780;United States;New York City;New York;10035;East;FUR-BO-10000362; 136,784 ;1;0,2;5,129
5395;US-2014-123183;19/11/2014;25/11/2014;Standard Class;GR-14560;United States;Wilmington;Delaware;19805;East;FUR-BO-10000362; 1.025,880 ;6;0;235,952
7681;CA-2014-133592;31/12/2014;07/01/2015;Standard Class;KM-16375;United States;Providence;Rhode Island;2908;East;FUR-BO-10000362; 341,960 ;2;0;78,651
1933;CA-2017-161200;06/08/2017;10/08/2017;Second Class;SV-20365;United States;Lafayette;Louisiana;70506;South;FUR-BO-10000468; 145,740 ;3;0;23,318
3031;CA-2015-168480;21/09/2015;27/09/2015;Standard Class;DM-12955;United States;Lincoln Park;Michigan;48146;Central;FUR-BO-10000468; 194,320 ;4;0;31,091
5474;CA-2017-116946;19/12/2017;23/12/2017;Standard Class;TS-21505;United States;Parker;Colorado;80134;West;FUR-BO-10000468; 102,018 ;7;0,7;-183,632
7566;US-2016-166660;30/01/2016;01/02/2016;Second Class;TB-21250;United States;Seattle;Washington;98103;West;FUR-BO-10000468; 48,580 ;1;0;7,773
8790;CA-2017-126914;15/06/2017;19/06/2017;Standard Class;JE-15715;United States;Monroe;North Carolina;28110;South;FUR-BO-10000468; 77,728 ;2;0,2;-3,886
8955;CA-2014-156790;08/08/2014;10/08/2014;Second Class;VG-21790;United States;Jacksonville;Florida;32216;South;FUR-BO-10000468; 155,456 ;4;0,2;-7,773
4089;US-2014-156559;19/08/2014;26/08/2014;Standard Class;LH-16900;United States;Jonesboro;Arkansas;72401;South;FUR-BO-10000711; 638,820 ;9;0;172,481
5221;CA-2014-140487;14/06/2014;20/06/2014;Standard Class;SR-20425;United States;Detroit;Michigan;48234;Central;FUR-BO-10000711; 212,940 ;3;0;57,494
2404;US-2016-110170;27/09/2016;03/10/2016;Standard Class;HM-14860;United States;Huntsville;Texas;77340;Central;FUR-BO-10000780; 956,665 ;7;0,32;-225,098
4267;US-2016-131611;05/11/2016;09/11/2016;Standard Class;EP-13915;United States;Houston;Texas;77036;Central;FUR-BO-10000780; 956,665 ;7;0,32;-225,098
4469;CA-2017-168641;24/11/2017;01/12/2017;Standard Class;KA-16525;United States;New York City;New York;10035;East;FUR-BO-10000780; 321,568 ;2;0,2;-16,078
9220;US-2015-164238;16/08/2015;20/08/2015;Standard Class;JW-15955;United States;Philadelphia;Pennsylvania;19120;East;FUR-BO-10000780; 301,470 ;3;0,5;-205
9626;CA-2017-137449;29/06/2017;30/06/2017;First Class;ME-17725;United States;Dallas;Texas;75220;Central;FUR-BO-10000780; 409,999 ;3;0,32;-96,47
486;CA-2017-140963;10/06/2017;13/06/2017;First Class;MT-18070;United States;Los Angeles;California;90045;West;FUR-BO-10001337; 514,165 ;5;0,15;-30,245
2547;CA-2017-108070;16/04/2017;20/04/2017;Standard Class;JE-15745;United States;San Jose;California;95123;West;FUR-BO-10001337; 102,833 ;1;0,15;-6,049
2797;CA-2014-154599;12/04/2014;17/04/2014;Standard Class;KN-16450;United States;Redondo Beach;California;90278;West;FUR-BO-10001337; 308,499 ;3;0,15;-18,147
3763;CA-2016-156251;13/08/2016;18/08/2016;Second Class;TS-21160;United States;West Allis;Wisconsin;53214;Central;FUR-BO-10001337; 241,960 ;2;0;24,196
